source,target,key,relationship_type,layer,confidence,trial_id,evidence_text,direction,temporal_marker
Jean Bertremin,Jean Clement,0,CO_WITNESS,co_presence,0.5,w224,Both witnessed in w224,undirected,
Jean Bertremin,Marguitte femme Claudon Thouvenat,0,CO_WITNESS,co_presence,0.5,w224,Both witnessed in w224,undirected,
Jean Bertremin,Claudon Thouvenat,0,CO_WITNESS,co_presence,0.5,w224,Both witnessed in w224,undirected,
Jean Bertremin,Marguitte femme Claudon Grand Ferry,0,CO_WITNESS,co_presence,0.5,w224,Both witnessed in w224,undirected,
Jean Bertremin,Catherine femme Jean Clement,0,CO_WITNESS,co_presence,0.5,w224,Both witnessed in w224,undirected,
Jean Bertremin,Claudon Grand Ferry,0,CO_WITNESS,co_presence,0.5,w224,Both witnessed in w224,undirected,
Marie femme de Jean Bocquel le jeune de Dignonville,"B 3804 no 1; Witch 066, Nicolas Adam de Dompierre",0,TESTIFIED_AGAINST,accusation,0.95,w066,Witness 26 in trial w066,directed,1620.0
Jean Carillon,"B 8691 no 1; witch 212, François Marion de Raon",0,TESTIFIED_AGAINST,accusation,0.95,w212,Witness 33 in trial w212,directed,1602.0
Jeanne femme Austette Petter Frels,"Witch 343; Dumont, t. 2, i-xxvii, Claudon Hardier, de Hesse",0,TESTIFIED_AGAINST,accusation,0.95,w343,Witness 24 in trial w343,directed,1608.0
Georgel Voiry dit Melynne,"B 3789 no 2; witch 059, Georgeatte femme Colas Herteman, de Brouvelieures",0,TESTIFIED_AGAINST,accusation,0.95,w059,Witness 6 in trial w059,directed,1615.0
Georgel Voiry dit Melynne,Mengeon Roffart de Brouvelieures,0,CO_WITNESS,co_presence,0.5,w059,Both witnessed in w059,undirected,
Georgel Voiry dit Melynne,Mengel le Duc de Brouvelieures,0,CO_WITNESS,co_presence,0.5,w059,Both witnessed in w059,undirected,
Georgel Voiry dit Melynne,Thiriot le Duc de Brouvelieures,0,CO_WITNESS,co_presence,0.5,w059,Both witnessed in w059,undirected,
