source,target,key,relationship_type,layer,confidence,trial_id,evidence_text,direction,temporal_marker
Annon femme du precedent,"B 8687 no 5; witch 203, Dieudonnée femme Pierre Chrestien de Moriviller",0,TESTIFIED_AGAINST,accusation,0.95,w203,Witness 2 in trial w203,directed,1601.0
Annon femme du precedent,Thoussainct Gomay,0,CO_WITNESS,co_presence,0.5,w203,Both witnessed in w203,undirected,
Annon femme du precedent,Le maire Claudon Chadat,0,CO_WITNESS,co_presence,0.5,w203,Both witnessed in w203,undirected,
Annon femme du precedent,Poiresson Mareschal,0,CO_WITNESS,co_presence,0.5,w203,Both witnessed in w203,undirected,
Annon femme du precedent,Barbon femme Lienard Jean Lienard,0,CO_WITNESS,co_presence,0.5,w203,Both witnessed in w203,undirected,
Annon femme du precedent,Didier Claude Phillippe,0,CO_WITNESS,co_presence,0.5,w203,Both witnessed in w203,undirected,
Annon femme du precedent,Le maire Colas Brouvellant,0,CO_WITNESS,co_presence,0.5,w203,Both witnessed in w203,undirected,
Annon femme du precedent,Colas Jean Badorat,0,CO_WITNESS,co_presence,0.5,w203,Both witnessed in w203,undirected,
Annon femme du precedent,Colas Cuguin,0,CO_WITNESS,co_presence,0.5,w203,Both witnessed in w203,undirected,
Bastienne femme Claude Gerardin de la Voivrelle,"B 8708 no 8; witch 269, Jean Jacques Gerardin de la Voivrelle",0,TESTIFIED_AGAINST,accusation,0.95,w269,Witness 3 in trial w269,directed,1611.0
Berthremin Michiel Flandrey,"B 8682 no 7; witch 185, Agathe femme Colas Jobay du Faing",0,TESTIFIED_AGAINST,accusation,0.95,w185,Witness 2 in trial w185,directed,1598.0
Berthremin Michiel Flandrey,"Marion femme Claudey Michiel Flandrey
Had been refused pastries from house on Ch",0,CO_WITNESS,co_presence,0.5,w185,Both witnessed in w185,undirected,
Berthremin Michiel Flandrey,Benite veuve Claudon le Bailly,0,CO_WITNESS,co_presence,0.5,w185,Both witnessed in w185,undirected,
Berthremin Michiel Flandrey,Mengeon Didier Henryat,0,CO_WITNESS,co_presence,0.5,w185,Both witnessed in w185,undirected,
