name,canonical_id,entity_type,gender,outcome,locations,num_trial_appearances,is_super_witness,became_accused
b 8715 no,E00049,accused,female,released,"['Raon', 'Sachemont']",3,False,False
b8715 no,E00050,accused,male,death_sentence,['Clemecy'],1,False,False
b 8721 no 1. witch,E00051,accused,female,death_sentence,['Mazelay'],1,False,False
jean perrin,E00052,accused,male,death_sentence,['Giriviller'],4,True,True
hantzo alexis,E00053,accused,unknown,death_sentence,['Wisembach'],1,False,False
b 8721 no 6. witch,E00054,accused,female,death_sentence,['Le Paire'],1,False,False
babelon mongeon voirin,E00055,accused,female,death_sentence,['Moyenmoutier'],1,False,False
b 8724 no 2. witch,E00056,accused,female,death_sentence,['Raon'],1,False,False
b 8724 no 3. witch,E00057,accused,male,death_sentence,['Raon'],1,False,False
b 8724 no 4. witch,E00058,accused,female,death_sentence,['Raon'],1,False,False
b 8724 no 5. witch,E00059,accused,female,death_sentence,['Raon'],1,False,False
when she was in hands,E00060,accused,unknown,death_sentence,[],1,False,False
mengotte pierre gascon,E00061,accused,female,death_sentence,['St'],1,False,False
jaulne nicolas vincent,E00062,accused,female,death_sentence,['St Nicolas'],1,False,False
b 8961 no 1. witch,E00063,accused,female,death_sentence,['St Nicolas'],1,False,False
vosges g 707 no 1; witch,E00064,accused,male,death_sentence,['St Lyenard'],2,False,False
vosges g 708 no 1; witch,E00065,accused,female,death_sentence,['Faing'],1,False,False
vosges g 710: witch,E00066,accused,female,death_sentence,[],1,False,False
vosges 3 c 239; witch,E00067,accused,female,death_sentence,['Badonviller'],1,False,False
vosges 3 c 239: witch,E00068,accused,unknown,unknown,['Pexonne'],1,False,False
: vosges g,E00069,accused,female,banished,['Giriviller'],1,False,False
vosges g706: witch,E00070,accused,female,death_sentence,['Monteigneiz'],1,False,False
a.d. moselle,E00071,accused,female,death_sentence,[],1,False,False
nicolas parmentier,E00072,witness,male,,"['St Nicolas', 'Bruyeres', 'Brouramont', 'Martinbois']",16,True,False
odille claudin thieriat,E00073,witness,female,,[],3,True,False
barbellon nicolas mulnier,E00074,witness,female,,[],2,False,False
catherine didier moictrier,E00075,witness,female,,"['Rozieres', 'Mesnil', 'Launay']",22,True,False
laurent doullat,E00076,witness,unknown,,[],1,False,False
jean hangney,E00077,witness,male,,['La Bolle'],4,True,False
dyon jean vosgien,E00078,witness,female,,[],1,False,False
jean vosgien,E00079,witness,male,,[],1,False,False
anthoine rougier,E00080,witness,male,,['Aidoile'],2,False,False
claudin thienat alias mallenoy,E00081,witness,unknown,,[],1,False,False
mengin cuysenier,E00082,witness,unknown,,[],1,False,False
didier moictrier,E00083,witness,male,,"['Herbafain', 'Fer']",16,True,False
mag,E00084,witness,female,,"['Hidult Thiebauld', 'Ange', 'Demenge', 'Sainte Margarée']",19,True,False
damien boullengier,E00085,witness,unknown,,[],1,False,False
catherine colin douche,E00086,witness,female,,[],1,False,False
thoussainct bournery,E00087,witness,unknown,,[],1,False,False
nicolas berger,E00088,witness,male,,[],1,False,False
didier florentin,E00089,witness,unknown,,[],1,False,False
crestaille thieriet,E00090,witness,unknown,,[],1,False,False
bastien arracourt,E00091,witness,male,,['Viel Marché'],5,True,False
izabel,E00092,witness,female,,[],2,False,False
le maire anthoine rougier,E00093,witness,male,,[],5,True,False
mengin dourche,E00094,witness,unknown,,[],1,False,False
mengeotte,E00095,witness,female,,"['Bathelemont', 'Aidoile', 'Haréville', 'Develline', 'Rozieres', 'St Nicolas', 'Guillaume Redoubte', 'Raon', 'St Remy', 'Pajaille', 'Mesnil']",40,True,False
nicolas saffrois,E00096,witness,male,,[],1,False,False
barbe,E00097,witness,female,,['Moyenmoutier'],44,True,False
jean symonin,E00098,witness,male,,[],2,False,False
catherine nicolas villaume,E00099,witness,female,,['Acraigne'],3,True,False
odille jean hangney,E00100,witness,female,,['Beufville'],2,False,False
chrestofle austien,E00101,witness,unknown,,[],2,False,False
jean tanaire,E00102,witness,male,,[],1,False,False
françoise abraham simon,E00103,witness,female,,[],5,True,False
benoiste didier bruant,E00104,witness,female,,[],1,False,False
jennotte gerardin ro,E00105,witness,female,,[],1,False,False
tante libar clau,E00106,witness,female,,[],1,False,False
jacquemin maire gerard,E00107,witness,unknown,,[],1,False,False
