entity_type_graph,degree,betweenness_centrality,pagerank,closeness_centrality
accused,0.0,0.0,1.905778319927924e-05,0.0
unknown,4.603452890792291,0.0007410265153617571,0.00012564894018925456,0.09562985900394258
witness,0.01061434544869733,1.316850769083242e-06,1.9233842489069482e-05,0.0001617696856717846
