,degree,degree_centrality,in_degree,out_degree,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,clustering_coefficient,constraint
count,10652.0,10652.0,10652.0,10652.0,10652.0,10652.0,10652.0,10652.0,10652.0,3387.0
mean,3.232256853173113,0.00030346980125557345,1.6172549755914383,1.6172549755914383,0.0005201881535696741,0.06712816827170605,0.0016913152517100678,9.387908374014245e-05,0.2562349072063484,0.47250555206577644
std,5.558755702124005,0.0005218998875339409,3.7386268374316276,3.702515829259533,0.00448103365885971,0.0796519651340065,0.009540811390994436,0.0001745203392392618,0.4257383688091336,0.26806255020296393
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.905778319927924e-05,0.0,0.019160117256327214
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.905778319927924e-05,0.0,0.33138032653061233
50%,1.0,9.388789784996713e-05,0.0,1.0,0.0,0.0,0.0,6.0570760292084347e-05,0.0,0.36100000000000004
75%,3.0,0.0002816636935499014,1.0,1.0,0.0,0.1523158366808868,0.00022407586556759152,0.0001270518879907799,0.5845588235294118,0.5
max,138.0,0.012956529903295464,68.0,138.0,0.2410502706366825,0.2549228611500701,0.2703419075843506,0.005516235760460156,1.0,1.125
