trial_id,filename,outcome,text_length,reputation,suspected,accused,witness,quarrel,threat,confess,sabbat,torture,death,released,banished
w324,w324.pdf,death_sentence,5126,0,1,3,0,0,0,0,1,0,3,0,0
w325,w325.pdf,banished,12502,7,1,9,5,3,1,1,0,9,6,3,0
w326,w326.pdf,death_sentence,5132,3,3,3,0,2,0,2,0,3,7,0,0
w327,w327.pdf,death_sentence,9468,5,2,10,9,5,1,2,1,5,9,0,0
w328,w328.pdf,death_sentence,8007,5,10,5,11,0,0,3,0,2,3,0,0
w329,w329.pdf,death_sentence,10209,2,5,10,3,0,1,0,0,5,7,2,0
w330,w330.pdf,unknown,13029,5,4,9,8,1,1,0,0,2,5,1,0
w331,w331.pdf,death_sentence,23985,0,1,9,8,1,1,1,1,5,19,0,0
w332,w332.pdf,death_sentence,6110,0,2,1,2,0,2,5,0,4,6,0,0
w333,w333.pdf,death_sentence,5574,0,2,4,1,1,1,3,0,5,1,0,0
w333,w333A.pdf,death_sentence,20258,2,3,14,8,5,1,2,5,3,31,0,0
w333,w333B.pdf,death_sentence,15657,1,5,8,10,1,2,4,0,3,21,0,0
w333,w333C.pdf,death_sentence,3415,0,0,0,0,0,1,5,3,3,1,0,0
w333,w333D.pdf,death_sentence,6874,0,5,6,4,3,0,1,1,2,7,0,0
w333,w333E.pdf,death_sentence,16283,0,11,13,6,0,2,3,3,2,12,0,0
w333,w333F.pdf,death_sentence,15626,2,2,15,5,1,1,6,5,3,9,0,0
w334,w334.pdf,death_sentence,24767,0,11,22,12,3,4,5,5,6,23,1,0
w335,w335.pdf,death_sentence,5456,0,1,0,1,0,1,3,3,5,2,0,1
w336,w336.pdf,death_sentence,16516,11,8,15,12,1,5,0,0,2,5,1,0
w337,w337.pdf,death_sentence,7093,6,1,10,4,1,1,0,0,1,5,0,0
w338,w338.pdf,death_sentence,10808,5,9,8,9,4,2,1,0,5,10,1,0
w339,w339.pdf,death_sentence,7990,3,2,11,5,1,1,1,0,1,2,0,0
w340,w340.pdf,death_sentence,38464,17,17,36,24,5,4,0,0,1,34,0,0
w341,w341.pdf,unknown,9723,0,0,9,6,0,0,0,0,1,0,0,0
w342,w342.pdf,death_sentence,58361,12,7,29,14,5,6,6,3,22,44,5,3
w343,w343.pdf,death_sentence,20176,4,5,8,14,8,5,0,2,4,17,0,0
w344,w344.pdf,banished,7144,10,6,7,6,2,0,0,0,0,4,0,0
w345,w345.pdf,death_sentence,2714,0,0,0,0,0,0,1,0,0,1,0,0
w346,w346.pdf,death_sentence,3439,0,0,0,1,0,0,0,0,4,3,1,1
w350,w350.pdf,death_sentence,10599,1,1,1,4,2,0,3,1,1,6,0,0
