term,death_sentence,released,banished
reputation,9.378205128205128,9.0,8.0
suspected,4.522435897435898,3.3333333333333335,5.444444444444445
accused,6.823717948717949,4.888888888888889,3.5555555555555554
witness,5.503205128205129,5.111111111111111,3.7777777777777777
quarrel,2.0865384615384617,2.4444444444444446,1.2222222222222223
threat,0.3141025641025641,0.3333333333333333,0.1111111111111111
confess,1.1282051282051282,0.7777777777777778,0.1111111111111111
confession,0.5897435897435898,0.2222222222222222,0.0
sabbat,1.5769230769230769,0.3333333333333333,0.0
torture,2.128205128205128,2.888888888888889,1.2222222222222223
died,5.342948717948718,5.666666666666667,6.111111111111111
death,4.006410256410256,2.0,3.0
