name,entity_type,gender,location,authority_role,num_trial_appearances,is_super_witness,personal_suspicion,was_witness_then_accused
B 5344 no 2; witch 099,accused,female,Wirming,,1,False,False,False
B 5344 no 3; witch 100,accused,female,Amange,,1,False,False,False
B 5344 no 4; Witch 101,accused,female,Amange,,1,False,False,False
B 5354 no 1; Witch 102,accused,female,Blanche Eglise,,1,False,False,False
B 8592; witch 104,accused,male,Bainville,,1,False,False,False
B 5757; witch 105,accused,female,Einville,,1,False,False,False
B 5769; witch 106,accused,female,Bathelemont-les-,,1,False,False,False
B 6723 no 1: witch 107,accused,female,Flin,,1,False,False,False
B 6723 no 2; witch 108,accused,male,Flin,,1,False,False,False
B 6760. Witch 109; Mengeatte veuve Grand Jacques de Rehainviller,accused,female,Rehainviller,,1,False,False,False
B 7118; witch 110,accused,female,Haréville,,1,False,False,False
B 7122; witch 111,accused,female,Val,,1,False,False,False
B 7134 no 1; witch 112,accused,unknown,Hymont,,1,False,False,False
B 7314 no 2; witch 113,accused,female,Ambacourt,,1,False,False,False
B 7134 no 3; witch 114,accused,female,Bettoncourt,,1,False,False,False
B 7137 no 1; witch 115,accused,female,Villoncourt,,1,False,False,False
B 7137 no 2; witch 116,accused,female,Parey-sous-,,1,False,False,False
B 7137 no 3; witch 117,accused,female,Parey-sous-,,1,False,False,False
B 7279; witch 118,accused,female,Azelot,,1,False,False,False
B 7301; witch 119,accused,female,Jarville,,1,False,False,False
B 7309 no 2; witch 121,accused,male,Einville,,1,False,False,False
B 7316; witch 122,accused,unknown,Nancy,,1,False,False,False
B 7326; witch 123,accused,female,,,1,False,False,False
B 7354; witch 124,accused,female,Vandeuvre,,1,False,False,False
B 7394; witch 125,accused,male,Malzeville,,1,False,False,False
B 8260; witch 126,accused,female,Vilcey-sur-,,1,False,False,False
B 8272; witch 127,accused,female,Pargny,,1,False,False,False
B 8275 no 1; witch 128,accused,female,Preny,,1,False,False,False
B 8275 no 2; witch 129,accused,female,Preny,,1,False,False,False
B 8275 no 3; witch 130,accused,female,Preny,,1,False,False,False
B 8281 no 1; witch 131,accused,female,Villers-sous-,,1,False,False,False
B 8281 no 2; witch 132,accused,female,Vilcey-sur-,,1,False,False,False
B 8535 no 1; witch 133,accused,female,Neufviller,,1,False,False,False
B 8535 no 2; witch 134,accused,female,Rozieres,,1,False,False,False
B 8535 no 3; witch 135,accused,female,Rozieres,,1,False,False,False
B 8535 no 4; witch 136,accused,unknown,Rozieres,,1,False,False,False
B 8535 no 5; witch 137,accused,female,Rozieres,,1,False,False,False
B 8667 No 1 Witch 139,accused,unknown,,,1,False,False,False
B 8667 No 2 Witch 140,accused,female,,,1,False,False,False
B 8667 No 3 Witch 141,accused,unknown,,,1,False,False,False
B 8667 No 4 Witch 142,accused,unknown,,,1,False,False,False
B 8667 No 5 (1) Witch 143,accused,male,,,1,False,False,False
B 8667 No 6 Witch 144,accused,unknown,Sambois,,1,False,False,False
Witch 145: B8667 no 7,accused,unknown,Saint Remy,,1,False,False,False
Witch 146: B8667 no 8,accused,female,Viel Marché,,1,False,False,False
Witch 147: B8667 no 9: Laurence femme George Jolbay de Ste Margaree,accused,female,Ste Margaree,,1,False,False,False
B 8669 no 1; Witch 148,accused,female,Ginfosse,,1,False,False,False
B 8669 no 3; Witch 150,accused,female,St Dié,,1,False,False,False
B 8669 no 4; witch 151,accused,female,Develine,,1,False,False,False
B 8673 no 1; witch 152,accused,female,Lubine,,1,False,False,False
B 8673 no 2; witch 153,accused,female,Girovillers-sous-,,1,False,False,False
B 8675 no 1; witch 154,accused,unknown,Bertrimoutier,,1,False,False,False
B 8675 no 2; witch 155,accused,female,,,1,False,False,False
Witch 156: B8677 no 2,accused,unknown,Hault,,1,False,False,False
Witch 157: B8677 no 3,accused,female,Bonipaire,,1,False,False,False
Witch 158: B8677 no 4,accused,female,St Dié,,1,False,False,False
Witch 159: B8677 no 5,accused,unknown,La Chapelle,,1,False,False,False
Witch 160: B8677 no 6,accused,female,La Chapelle,,1,False,False,False
Witch 161; B8677 no 7,accused,female,,,1,False,False,False
Witch 162; B8677 no 8,accused,male,,,1,False,False,False
Witch 163; B8667 no 9,accused,female,La Chapelle,,1,False,False,False
