node,degree,betweenness,rank_type,period
"B 8669 no 3; Witch 150, Barbeline femme Claude Wan",14,0.0032133216248739715,betweenness,1590-1594
Nicolas Parmentier,2,0.0028230396461443393,betweenness,1590-1594
Didier Moictrier,2,0.0028230396461443393,betweenness,1590-1594
"Witch 160: B8677 no 6, Blasotte femme Claudon Coll",41,0.0028315644873188163,degree,1595-1599
"B 8959 no 1; witch 321, Barbon femme Nicolas Moict",36,0.0022534082800235358,degree,1595-1599
"B 3317 no 2; Witch 024, Jennon veuve Didier Ramaix",28,0.0006760224840070607,degree,1595-1599
"B 7326; witch 123, Isabillon femme Jean Parmentier",28,0.002028067452021182,degree,1595-1599
"B 8677 no 12; witch 166, Mongeatte veuve Jacques d",28,0.002028067452021182,degree,1595-1599
"B 8677 no 11; witch 165, Claudel Demenge Martin, d",27,0.008258025978578314,degree,1595-1599
"Witch 156: B8677 no 2, George de Hault of Clingott",26,0.0005812362627044834,degree,1595-1599
"B 2521 no 1; Witch 013, Jacotte femme Nicolas Fran",24,0.0004936037184813459,degree,1595-1599
"B 8684 no 3. Witch 77, Françatte veuve Claudon Jar",24,0.0004936037184813459,degree,1595-1599
"Witch 159: B8677 no 5, Blason Charpentier de La Ch",23,0.0015836594572647105,degree,1595-1599
"B 8680 no 5; witch 175, Mongeatte femme Claude Ten",21,0.024284051055793315,betweenness,1595-1599
Marguitte femme du precedent,3,0.0188302664923554,betweenness,1595-1599
"B 8680 no 2; witch 172, Demenge Martin, du Paire",16,0.014387833026023289,betweenness,1595-1599
"B 8680 no 6; witch 176, Claude Tendon de Saulcy",17,0.013719858428730598,betweenness,1595-1599
"B 8678 no 1; witch 168, Laurence femme Nicolas Vin",13,0.01333087723753606,betweenness,1595-1599
Jennon femme du precedent,2,0.012704930493085078,betweenness,1595-1599
Claudon le Clerc,3,0.010222008406762843,betweenness,1595-1599
B 8684 no 7. Witch 194; Jean Lallemant de St Liena,20,0.01017431722623325,betweenness,1595-1599
Jacques Hugo,2,0.009619907252576665,betweenness,1595-1599
"B 8684 no 6. Witch 193, Catherine femme Jean Bertr",54,0.0021622029992822878,degree,1600-1604
"B 8691 no 1; witch 212, François Marion de Raon",43,0.026005943162215567,degree,1600-1604
"B 8693 no 4; witch 233, Claude Colin Michiel dit B",39,0.003933063876402372,degree,1600-1604
"B 6723 no 1: witch 107, Mengette femme Jean Cachet",38,0.017996181886334145,degree,1600-1604
"B 8691 no 4; witch 215, Meline, veuve Nicolas Char",34,0.03785851850714184,degree,1600-1604
"B 8693 no 2; witch 231, Jean Aulbry du Vivier d'Et",34,0.004637177501605409,degree,1600-1604
"B 3325 no 2; witch 035, Clemence veuve Claudon Mar",33,0.0021490071645324156,degree,1600-1604
"B 8691 no 12; witch 223, Mongeatte femme Thoussain",33,0.07354681450960678,degree,1600-1604
"B 8693 no 1; witch 230, Marion femme Demenge Husso",32,0.0011241642428134325,degree,1600-1604
"B 6723 no 2; witch 108, Jean Cachette de Flin",30,0.048620912259903074,degree,1600-1604
"B 8691 no 5; witch 216, Babelon femme Hanry Jean H",14,0.059662372983794794,betweenness,1600-1604
Anthoinette,2,0.05392210931892872,betweenness,1600-1604
