config,n_nodes,n_edges,density,avg_degree,largest_component_frac
testimony_only,4939,4974,0.00040789244825756364,2.014172909495849,0.5160963757845718
testimony_co_witness,5013,14614,0.001163296259732676,5.830440853780171,0.5180530620386994
testimony_kinship,6500,6791,0.0003215169197628037,2.0895384615384613,0.6838461538461539
all_types,7380,17215,0.0006322417201675743,4.6653116531165315,0.6158536585365854
