node,matched_name,degree,risk_level
Catherine,catherine,138,high
Jennon,jennon,129,high
Marie,marie,58,high
Barbe,barbe,48,high
Mengeatte,mengeatte,44,high
Claudon,claudon,41,high
Jeanne,jeanne,32,high
Jean,jean,32,high
Nicolas,nicolas,18,medium
Mengeon,mengeon,17,medium
Marguerite,marguerite,17,medium
Claude,claude,12,medium
Didier,didier,6,medium
Pierre,pierre,1,medium
jean,jean,0,medium
pierre,pierre,0,medium
claude,claude,0,medium
marie,marie,0,medium
barbe,barbe,0,medium
