outcome,reputation,suspected,accused,witness,quarrel,threat,confess,sabbat,torture,death,released,banished
banished,9.307692307692308,5.384615384615385,3.0,5.0,2.3076923076923075,0.6153846153846154,1.0769230769230769,0.46153846153846156,2.4615384615384617,9.23076923076923,0.5384615384615384,0.46153846153846156
death_sentence,10.355623100303951,4.6534954407294835,6.486322188449848,5.9361702127659575,3.1793313069908815,1.534954407294833,2.443768996960486,1.458966565349544,3.617021276595745,10.565349544072948,0.6231003039513677,0.06382978723404255
released,11.333333333333334,3.4444444444444446,4.777777777777778,5.777777777777778,3.2222222222222223,1.4444444444444444,1.0,0.3333333333333333,4.0,7.111111111111111,1.7777777777777777,0.0
unknown,6.294117647058823,2.7058823529411766,3.823529411764706,3.7058823529411766,1.588235294117647,0.35294117647058826,0.8235294117647058,0.7647058823529411,2.588235294117647,5.411764705882353,0.5294117647058824,0.0
