node,n_neighbors,accused_neighbors,exposure_ratio,is_accused
Crestienne Varnier de Bruyeres,1,1,1.0,0
Nicolas Henry Mongin,1,1,1.0,0
Roze veuve de feu le maire Mongenot Estienne de Do,1,1,1.0,0
Bingel femme Luc Reise,1,1,1.0,0
Mongeon Jean,2,1,0.5,0
Agathe,9,0,0.0,0
Annel veuve Virion Bergier de Domjevin,10,1,0.1,0
Honneste homme Jean Hacquart,1,1,1.0,0
Jean Simonin de Bussang,9,1,0.1111111111111111,0
Pierre Grand Jean bouchier de Charmes,1,1,1.0,0
Didier Antoine,1,0,0.0,0
Demenge Loys de Repas,1,1,1.0,0
Marguitte femme Jean Anthoine de Haillieulle,10,1,0.1,0
Alizon femme Demenge Remy,18,2,0.1111111111111111,0
Dieudonné Coupechausse,1,0,0.0,0
Agathe femme Jean Petit Jean Louys,1,1,1.0,0
Francoys Melenicque,1,1,1.0,0
Mathieu Hachon,1,0,0.0,0
Benite femme Jean Andreu,1,1,1.0,0
Dyon,1,0,0.0,0
Anyon,1,0,0.0,0
B 8702 no 7; Witch 246,2,0,0.0,0
Mengin Regnaude,1,0,0.0,0
Pierron Prey,1,0,0.0,0
Claudon Bieque,2,1,0.5,0
Colas Demenge,1,0,0.0,0
Chrestofle Perin,1,1,1.0,0
Catherine femme Sr Jean Clerc mre echevin,5,1,0.2,0
Claudon Fourestier d'Einville,1,1,1.0,0
B 9142: witch 350: Agathe,3,0,0.0,0
Jean Prevost de Moyemont,14,2,0.14285714285714285,0
"B 6723 no 1: witch 107, Mengette femme Jean Cachet",38,0,0.0,1
Barbeline femme Mengeon Renouard de la Voivrelle,1,1,1.0,0
Colatte,15,0,0.0,0
Demengeon Claude,1,0,0.0,0
Jean Humbert Simon de Braconcel,1,1,1.0,0
Claudon Colas Le Vieulx Homme de Sachemont,10,1,0.1,0
Colas Henry Finance,10,1,0.1,0
Jean Bietrix,1,1,1.0,0
George Grand,1,0,0.0,0
Claudatte femme Colas Bataille de la Vacherie,10,1,0.1,0
Colin George,1,0,0.0,0
Didier Hanna de Dompierre,10,1,0.1,0
Mengeatte fille Michiel Jean le Masson,1,1,1.0,0
Didier Claude Ferry de Moriviller,10,1,0.1,0
Aulbry Jean,1,0,0.0,0
CIaudon Jandelle de La Pelliere,9,1,0.1111111111111111,0
B 8708 no 4: witch 265; Jean Marechal,1,0,0.0,0
Jean Demengeon Boudart de Xennenay,1,1,1.0,0
Jacote,2,0,0.0,0
Fleuratte femme Didier Pernille,1,1,1.0,0
