feature,coefficient,odds_ratio
clustering_coefficient,1.8605514833182126,6.42728033211666
brokerage_score,1.411552020001048,4.102317344434004
degree,0.8882955083915312,2.4309825286056745
pagerank,0.20610489468067247,1.2288821004304273
gender_female,0.0,1.0
eigenvector_centrality,-0.025578548500085205,0.9747458111372073
gender_male,-0.07329886535393043,0.9293230460567828
closeness_centrality,-0.20661023074018717,0.8133366018197878
betweenness_centrality,-0.6853469294403309,0.5039153761662543
