canonical_id,canonical_name,num_trials,gender,became_accused,outcome,degree,betweenness_centrality,pagerank,closeness_centrality
E00117,zabel dieudonné cardillon,5,female,False,,0,0.0,1.905778319927924e-05,0.0
E00153,gerard marchal,5,unknown,False,,0,0.0,1.905778319927924e-05,0.0
E00093,le maire anthoine rougier,5,male,False,,0,0.0,1.905778319927924e-05,0.0
E00091,bastien arracourt,5,male,False,,0,0.0,1.905778319927924e-05,0.0
E00240,catherine femme,5,female,False,,0,0.0,1.905778319927924e-05,0.0
E00358,allison,5,female,False,,0,0.0,1.905778319927924e-05,0.0
E00852,nicolas clau,4,male,False,,0,0.0,1.905778319927924e-05,0.0
E00917,jean petit jean,4,male,False,,0,0.0,1.905778319927924e-05,0.0
E00217,margueritte femme,4,female,False,,0,0.0,1.905778319927924e-05,0.0
E00948,jean willaume surnomme brancquebourg,4,male,False,,0,0.0,1.905778319927924e-05,0.0
E01832,blaisette,4,female,False,,0,0.0,1.905778319927924e-05,0.0
E00162,clement,4,unknown,False,,0,0.0,1.905778319927924e-05,0.0
E00794,catherine colas jean bagay,4,female,False,,0,0.0,1.905778319927924e-05,0.0
E01852,jean colas lienard (14) george aulbry,4,male,False,,0,0.0,1.905778319927924e-05,0.0
E01239,jennon clau,4,female,False,,0,0.0,1.905778319927924e-05,0.0
E01242,jean gerardin,4,male,False,,0,0.0,1.905778319927924e-05,0.0
E01245,nicolas moictrier,4,male,False,,0,0.0,1.905778319927924e-05,0.0
E00773,cleron femme,4,female,False,,0,0.0,1.905778319927924e-05,0.0
E01850,mengeatte lienard demenge lienard,4,female,False,,0,0.0,1.905778319927924e-05,0.0
E01469,claudon clau,4,male,False,,0,0.0,1.905778319927924e-05,0.0
E00152,bastienne nicolas mercier,4,female,False,,0,0.0,1.905778319927924e-05,0.0
E01816,jean girard ancel,4,male,False,,0,0.0,1.905778319927924e-05,0.0
E00124,symon thieriet,4,male,False,,0,0.0,1.905778319927924e-05,0.0
E00121,thomas gerardin,4,male,False,,0,0.0,1.905778319927924e-05,0.0
E01499,colas colin,4,male,False,,0,0.0,1.905778319927924e-05,0.0
E00116,mongeatte françois tanaire,4,female,False,,0,0.0,1.905778319927924e-05,0.0
E00103,françoise abraham simon,4,female,False,,0,0.0,1.905778319927924e-05,0.0
E02493,jean regnauldin,4,male,False,,0,0.0,1.905778319927924e-05,0.0
E01766,idoult jean martin,4,male,False,,0,0.0,1.905778319927924e-05,0.0
E01588,didielle au jeune colas,4,female,False,,0,0.0,1.905778319927924e-05,0.0
E01593,colas mandray,4,unknown,False,,0,0.0,1.905778319927924e-05,0.0
E01634,lienard jean jacquemin,4,male,False,,0,0.0,1.905778319927924e-05,0.0
E01701,valtin claudion valtin,4,male,False,,0,0.0,1.905778319927924e-05,0.0
E00077,jean hangney,4,male,False,,0,0.0,1.905778319927924e-05,0.0
